country_name,iso3c,gwno,iso_n,gwc,total_fatalities,nr_events,polygon_tooltip,from,to,length,last_update
Mexico,MEX,70,484.0,MEX,7707,2436,"There have been an estimated 7707 fatalities recorded in Mexico from 2436 events in 11 conflict dyads (Jalisco Cartel New Generation - Sinaloa Cartel, Jalisco Cartel New Generation - Santa Rosa de Lima Cartel, Los Ardillos - Los Tlacos, Cartel Independiente de Acapulco - Los Rusos, UPOEG, Guerreros Unidos - Los Tlacos, Caborca Cartel, Sinaloa Cartel - Los Mayos - Sinaloa Cartel - Los Chapitos, Sinaloa Cartel - Los Chapitos - Sinaloa Cartel - Los Mayos, Carteles Unidos - Jalisco Cartel New Generation, Jalisco Cartel New Generation, Sangre Nueva Zeta - Los Rojos, Juarez Cartel - Sinaloa Cartel, Jalisco Cartel New Generation - Zetas Vieja Escuela), since June 2023. The most recent conflict event was on 29 June 2024.",June 2023,June 2024,12 months,UCDP GED Candidate (June 2024)
Colombia,COL,100,170.0,COL,176,81,"There have been an estimated 176 fatalities recorded in Colombia from 81 events in 5 conflict dyads (FARC - Mordisco  - Civilians, Colombia: Government, AGC - Civilians, ELN - AGC, FARC - Mordisco  - ELN), since June 2023. The most recent conflict event was on 22 June 2024.",June 2023,June 2024,12 months,UCDP GED Candidate (June 2024)
Venezuela,VEN,101,862.0,VEN,16,14,"There have been an estimated 16 fatalities recorded in Venezuela from 14 events in the Government of Venezuela - Civilians conflict dyad, since June 2023. The most recent conflict event was on 17 December 2023.",June 2023,June 2024,12 months,UCDP GED Candidate (June 2024)
Ecuador,ECU,130,218.0,ECU,31,2,"There have been an estimated 31 fatalities recorded in Ecuador from 2 events in the Los Lobos  - Los Tiguerones conflict dyad, since June 2023. The most recent conflict event was on 26 July 2023.",June 2023,June 2024,12 months,UCDP GED Candidate (June 2024)
Brazil,BRA,140,76.0,BRA,1588,1388,"There have been an estimated 1588 fatalities recorded in Brazil from 1388 events in 17 conflict dyads (Comando Vermelho - PCC, Bonde do Maluco - Comando Vermelho, Comando Vermelho - GDE, Comando Vermelho - Massa, Cartel do Norte - Comando Vermelho, Amigos Para Sempre - Família Terror Amapá, Bonde do Maluco - Civilians, Bonde do Maluco - Katiara, Bonde dos 13, PCC - Comando Vermelho, Bonde dos 40 - PCC, Bonde dos 40 - Comando Vermelho, PCC - Sindicato do Crime, GDE, PCC - Sindicato do Crime, Nova Okaida - Estados Unidos, Comando Vermelho - Holanda, Comando Vermelho - Civilians, Nova Okaida - PCC), since June 2023. The most recent conflict event was on 29 June 2024.",June 2023,June 2024,12 months,UCDP GED Candidate (June 2024)
Russia,RUS,365,643.0,RUS,475,132,"There have been an estimated 475 fatalities recorded in Russia (Soviet Union) from 132 events in 3 conflict dyads (Russia (Soviet Union): Government, Russia - Ukraine, IS - Civilians), since June 2023. The most recent conflict event was on 29 June 2024.",June 2023,June 2024,12 months,UCDP GED Candidate (June 2024)
Ukraine,UKR,369,804.0,UKR,85793,7525,"There have been an estimated 85793 fatalities recorded in Ukraine from 7525 events in 2 conflict dyads (Russia - Ukraine, Government of Russia (Soviet Union) - Civilians), since June 2023. The most recent conflict event was on 29 June 2024.",June 2023,June 2024,12 months,UCDP GED Candidate (June 2024)
Armenia,ARM,371,51.0,ARM,8,5,"There have been an estimated 8 fatalities recorded in Armenia from 5 events in the Azerbaijan: Artsakh (Nagorno-Karabakh) conflict dyad, since June 2023. The most recent conflict event was on 04 December 2023.",June 2023,June 2024,12 months,UCDP GED Candidate (June 2024)
Azerbaijan,AZE,373,31.0,AZE,427,9,"There have been an estimated 427 fatalities recorded in Azerbaijan from 9 events in the Azerbaijan: Artsakh (Nagorno-Karabakh) conflict dyad, since June 2023. The most recent conflict event was on 30 September 2023.",June 2023,June 2024,12 months,UCDP GED Candidate (June 2024)
Mali,MLI,432,466.0,MLI,1905,408,"There have been an estimated 1905 fatalities recorded in Mali from 408 events in 12 conflict dyads (Mali: Government, Government of Mali - Civilians, IS - Civilians, Mali: Islamic State, Mali: Government/Azawad, JNIM - Civilians, Dan na Ambassagou - JNIM, Mali: Azawad, Dozos (Mali) - Civilians, IS - JNIM, Dozos (Mali) - JNIM, CSP-DPA - JNIM), since June 2023. The most recent conflict event was on 27 June 2024.",June 2023,June 2024,12 months,UCDP GED Candidate (June 2024)
Benin,BEN,434,204.0,BEN,26,9,"There have been an estimated 26 fatalities recorded in Benin from 9 events in 2 conflict dyads (JNIM - Civilians, Benin: Government), since June 2023. The most recent conflict event was on 04 June 2024.",June 2023,June 2024,12 months,UCDP GED Candidate (June 2024)
Niger,NER,436,562.0,NIR,1246,101,"There have been an estimated 1246 fatalities recorded in Niger from 101 events in 7 conflict dyads (Niger: Islamic State, Niger: Government, Burkina Faso: Government, IS - Civilians, Nigeria: Government, JNIM - Civilians, IS - JAS), since June 2023. The most recent conflict event was on 26 June 2024.",June 2023,June 2024,12 months,UCDP GED Candidate (June 2024)
Burkina Faso,BFA,439,854.0,BFO,4665,432,"There have been an estimated 4665 fatalities recorded in Burkina Faso from 432 events in 8 conflict dyads (IS - JNIM, Burkina Faso: Islamic State, Burkina Faso: Government, JNIM - Civilians, Government of Mali - Civilians, Government of Burkina Faso - Civilians, IS - Civilians, Mali: Government), since June 2023. The most recent conflict event was on 27 June 2024.",June 2023,June 2024,12 months,UCDP GED Candidate (June 2024)
Togo,TGO,461,768.0,TOG,41,7,"There have been an estimated 41 fatalities recorded in Togo from 7 events in 2 conflict dyads (JNIM - Civilians, Togo: Government), since June 2023. The most recent conflict event was on 18 June 2024.",June 2023,June 2024,12 months,UCDP GED Candidate (June 2024)
Cameroon,CMR,471,120.0,CAO,526,217,"There have been an estimated 526 fatalities recorded in Cameroon from 217 events in 6 conflict dyads (Cameroon: Government, JAS - Civilians, Cameroon: Islamic State, Ambazonia insurgents - Civilians, Cameroon: Ambazonia, IS - Civilians), since June 2023. The most recent conflict event was on 26 June 2024.",June 2023,June 2024,12 months,UCDP GED Candidate (June 2024)
Nigeria,NGA,475,566.0,NIG,2622,435,"There have been an estimated 2622 fatalities recorded in Nigeria from 435 events in 14 conflict dyads (Nigeria: Islamic State, IS - Civilians, Fulani - Tiv, IS - JAS, Black Axe - Eyie, Fulani - Kuteb, Nigeria: Biafra, Government of Nigeria - Civilians, Nigeria: Government, Cameroon: Ambazonia, Ambazonia insurgents - Civilians, JAS - Civilians, Karimjo - Wurukum, Atyap - Fulani), since June 2023. The most recent conflict event was on 29 June 2024.",June 2023,June 2024,12 months,UCDP GED Candidate (June 2024)
Central African Republic,CAF,482,140.0,CEN,201,32,"There have been an estimated 201 fatalities recorded in Central African Republic from 32 events in 3 conflict dyads (Central African Republic: Government, Central African Republic: Logone, Azande Ani Kpi Gbe - CPC), since June 2023. The most recent conflict event was on 28 June 2024.",June 2023,June 2024,12 months,UCDP GED Candidate (June 2024)
Chad,TCD,483,148.0,CHA,22,5,"There have been an estimated 22 fatalities recorded in Chad from 5 events in 2 conflict dyads (JAS - Civilians, Farmers (Chad) - Herders (Chad)), since June 2023. The most recent conflict event was on 30 January 2024.",June 2023,June 2024,12 months,UCDP GED Candidate (June 2024)
"Congo, Republic of the",COG,490,178.0,CON,2937,470,"There have been an estimated 2937 fatalities recorded in DR Congo (Zaire) from 470 events in 21 conflict dyads (M23 - Civilians, Lengola - Mbole, DR Congo (Zaire): Government, IS - Civilians, URDPC - Civilians, VDP - M23, DR Congo (Zaire): Islamic State, Mobondo - Civilians, Government of DR Congo (Zaire) - Civilians, Zaire self-defense group - Civilians, CNPSC - Mayi Mayi Biloze Bishambuke, AFC - Civilians, Government of Rwanda - Civilians, AFC - URDPC, ANCDH/AFDP, APCLS, CMC, FPP-AP, NDC-R - M23, CMC - M23, FPIC Chambre noire sanduku - Civilians, FDBC - Civilians, Rwanda: Government, Government of Burundi - Civilians, FDBC - FPIC Chambre noire sanduku), since June 2023. The most recent conflict event was on 29 June 2024.",June 2023,June 2024,12 months,UCDP GED Candidate (June 2024)
Uganda,UGA,500,800.0,UGA,13,5,"There have been an estimated 13 fatalities recorded in Uganda from 5 events in the IS - Civilians conflict dyad, since June 2023. The most recent conflict event was on 25 December 2023.",June 2023,June 2024,12 months,UCDP GED Candidate (June 2024)
Kenya,KEN,501,404.0,KEN,157,35,"There have been an estimated 157 fatalities recorded in Kenya from 35 events in 2 conflict dyads (Kenya: Northeastern Province and Coast, Al-Shabaab - Civilians), since June 2023. The most recent conflict event was on 07 June 2024.",June 2023,June 2024,12 months,UCDP GED Candidate (June 2024)
Burundi,BDI,516,108.0,BUI,102,18,"There have been an estimated 102 fatalities recorded in Burundi from 18 events in 2 conflict dyads (Burundi: Government, Government of Burundi - Civilians), since June 2023. The most recent conflict event was on 23 December 2023.",June 2023,June 2024,12 months,UCDP GED Candidate (June 2024)
Somalia,SOM,520,706.0,SOM,2751,174,"There have been an estimated 2751 fatalities recorded in Somalia from 174 events in 3 conflict dyads (Somalia: Government, Al-Shabaab - Civilians, Dir clan  - Marehan subclan (Darod)), since June 2023. The most recent conflict event was on 26 June 2024.",June 2023,June 2024,12 months,UCDP GED Candidate (June 2024)
Ethiopia,ETH,530,231.0,ETH,2655,564,"There have been an estimated 2655 fatalities recorded in Ethiopia from 564 events in 8 conflict dyads (Ethiopia: Oromiya, Government of Ethiopia - Civilians, Ethiopia: Amhara, Amhara - Oromo, Fano - Civilians, OLA - Civilians, Ethiopia: Government/Amhara, Anuak - Nuer), since June 2023. The most recent conflict event was on 29 June 2024.",June 2023,June 2024,12 months,UCDP GED Candidate (June 2024)
Mozambique,MOZ,541,508.0,MZM,283,89,"There have been an estimated 283 fatalities recorded in Mozambique from 89 events in 2 conflict dyads (IS - Civilians, Mozambique: Islamic State), since June 2023. The most recent conflict event was on 29 June 2024.",June 2023,June 2024,12 months,UCDP GED Candidate (June 2024)
Sudan,SDN,625,729.0,SUD,6316,377,"There have been an estimated 6316 fatalities recorded in Sudan from 377 events in 5 conflict dyads (Sudan: Government, Habaniya  - Salamat Baggara, RSF - Civilians, Twic Dinka - Ngok Dinka, Arab - Masalit), since June 2023. The most recent conflict event was on 29 June 2024.",June 2023,June 2024,12 months,UCDP GED Candidate (June 2024)
South Sudan,SSD,626,728.0,SSD,34,1,"There have been an estimated 34 fatalities recorded in South Sudan from 1 events in the Twic Dinka - Ngok Dinka conflict dyad, since June 2023. The most recent conflict event was on 18 November 2023.",June 2023,June 2024,12 months,UCDP GED Candidate (June 2024)
Iran,IRN,630,364.0,IRN,121,9,"There have been an estimated 121 fatalities recorded in Iran from 9 events in 3 conflict dyads (Iran: Government, IS - Civilians, Pakistan: Balochistan), since June 2023. The most recent conflict event was on 20 February 2024.",June 2023,June 2024,12 months,UCDP GED Candidate (June 2024)
Turkey,TUR,640,792.0,TUR,42,34,"There have been an estimated 42 fatalities recorded in Turkey from 34 events in 2 conflict dyads (Turkey: Kurdistan, IS - Civilians), since June 2023. The most recent conflict event was on 24 June 2024.",June 2023,June 2024,12 months,UCDP GED Candidate (June 2024)
Iraq,IRQ,645,368.0,IRQ,387,212,"There have been an estimated 387 fatalities recorded in Iraq from 212 events in 4 conflict dyads (Turkey: Kurdistan, Iraq: Government, IS - Civilians, Iran - Israel), since June 2023. The most recent conflict event was on 29 June 2024.",June 2023,June 2024,12 months,UCDP GED Candidate (June 2024)
Syria,SYR,652,760.0,SYR,2593,1041,"There have been an estimated 2593 fatalities recorded in Syria from 1041 events in 9 conflict dyads (SNA - SDF, Syria: Islamic State, Iran - Israel, IS - SDF, Syria: Government, Syria: Government/Rojava Kurdistan, IS - Civilians, Turkey: Kurdistan, Deir ez Zor Military Council - SDF), since June 2023. The most recent conflict event was on 29 June 2024.",June 2023,June 2024,12 months,UCDP GED Candidate (June 2024)
Lebanon,LBN,660,422.0,LEB,318,129,"There have been an estimated 318 fatalities recorded in Lebanon from 129 events in 3 conflict dyads (Israel: Southern Lebanon, Israel: Palestine, Government of Israel - Civilians), since June 2023. The most recent conflict event was on 29 June 2024.",June 2023,June 2024,12 months,UCDP GED Candidate (June 2024)
Israel,ISR,666,376.0,ISR,30820,2389,"There have been an estimated 30820 fatalities recorded in Israel from 2389 events in 4 conflict dyads (Israel: Palestine, Government of Israel - Civilians, Israel: Southern Lebanon, Hamas - Civilians), since June 2023. The most recent conflict event was on 29 June 2024.",June 2023,June 2024,12 months,UCDP GED Candidate (June 2024)
Saudi Arabia,SAU,670,682.0,SAU,9,3,"There have been an estimated 9 fatalities recorded in Saudi Arabia from 3 events in the Yemen (North Yemen): Government conflict dyad, since June 2023. The most recent conflict event was on 25 October 2023.",June 2023,June 2024,12 months,UCDP GED Candidate (June 2024)
Yemen,YEM,678,887.0,YEM,440,185,"There have been an estimated 440 fatalities recorded in Yemen (North Yemen) from 185 events in 3 conflict dyads (Yemen (North Yemen): Government, AQAP - Forces of the Presidential Leadership Council, Australia, Bahrain, Canada, France, Italy, Netherlands, New Zeeland, Norway, Spain, United Kingdom, United States of America - Yemen), since June 2023. The most recent conflict event was on 13 June 2024.",June 2023,June 2024,12 months,UCDP GED Candidate (June 2024)
Afghanistan,AFG,700,4.0,AFG,201,101,"There have been an estimated 201 fatalities recorded in Afghanistan from 101 events in 5 conflict dyads (IS - Civilians, Afghanistan: Islamic State, Government of Afghanistan - Civilians, Afghanistan: Government, Pakistan: Government), since June 2023. The most recent conflict event was on 12 June 2024.",June 2023,June 2024,12 months,UCDP GED Candidate (June 2024)
India,IND,750,356.0,IND,394,174,"There have been an estimated 394 fatalities recorded in India from 174 events in 5 conflict dyads (India: Kashmir, CPI-Maoist - Civilians, India: Government, Myanmar (Burma): Government, Kuki - Meitei), since June 2023. The most recent conflict event was on 26 June 2024.",June 2023,June 2024,12 months,UCDP GED Candidate (June 2024)
Pakistan,PAK,770,586.0,PAK,1135,441,"There have been an estimated 1135 fatalities recorded in Pakistan from 441 events in 6 conflict dyads (Pakistan: Government, IS - Civilians, Pakistan: Balochistan, TTP - Civilians, BRAS - Civilians, Shia (Pakistan) - Sunni (Pakistan)), since June 2023. The most recent conflict event was on 29 June 2024.",June 2023,June 2024,12 months,UCDP GED Candidate (June 2024)
Myanmar (Burma),MMR,775,104.0,MYA,2901,1603,"There have been an estimated 2901 fatalities recorded in Myanmar (Burma) from 1603 events in 8 conflict dyads (Government of Myanmar (Burma) - Civilians, Myanmar (Burma): Government, Myanmar (Burma): Kachin, Myanmar (Burma): Karen, Myanmar (Burma): Kokang, Myanmar (Burma): Karenni, Myanmar (Burma): Arakan, Myanmar (Burma): Pa-O), since June 2023. The most recent conflict event was on 29 June 2024.",June 2023,June 2024,12 months,UCDP GED Candidate (June 2024)
Thailand,THA,800,764.0,THI,16,11,"There have been an estimated 16 fatalities recorded in Thailand from 11 events in the Thailand: Patani conflict dyad, since June 2023. The most recent conflict event was on 09 November 2023.",June 2023,June 2024,12 months,UCDP GED Candidate (June 2024)
Philippines,PHL,840,608.0,PHI,205,78,"There have been an estimated 205 fatalities recorded in Philippines from 78 events in 3 conflict dyads (Philippines: Government, Philippines: Islamic State, IS - Civilians), since June 2023. The most recent conflict event was on 26 June 2024.",June 2023,June 2024,12 months,UCDP GED Candidate (June 2024)
Indonesia,IDN,850,360.0,INS,135,28,"There have been an estimated 135 fatalities recorded in Indonesia from 28 events in 2 conflict dyads (Indonesia: West Papua, OPM - Civilians), since June 2023. The most recent conflict event was on 29 June 2024.",June 2023,June 2024,12 months,UCDP GED Candidate (June 2024)
Papua New Guinea,PNG,910,598.0,PNG,63,1,"There have been an estimated 63 fatalities recorded in Papua New Guinea from 1 events in the Ambulin, Itokon Nenae, Lungipin, Sau, Sau Walep, Yandamau, Yokoend, Yopo - Kaekin, Palinau, Sikin conflict dyad, since June 2023. The most recent conflict event was on 18 February 2024.",June 2023,June 2024,12 months,UCDP GED Candidate (June 2024)
